Urbanized Area,Location Prime State,Location Other State(s),"Estd. Urbanized Population (1,000)",Federal-Aid Urbanized Land Area (Sq. Miles),Persons per Square Mile,Total Highway Mileage,Total & Expressway Mileage,Total Freeway Miles per Urbanized Population,Total Highway Vehicle Miles (000),Total Freeway Vehicle Miles (000),Daily Vehicle Miles Per Capita,% of Travel Served by Freeways,Average AADT on Freeways
New York Northeastern NJ,NY,NJ,"17,089","3,962","4,313","37,623","1,130",66.1,"263,905","101,299",15.4,38.4,"89,639"
Los Angeles,CA, ,"12,384","2,231","5,551","26,949",652,52.7,"280,793","126,498",22.7,45.1,"193,875"
Chicago - Northwestern IN 1/,IL,IN,"7,702","2,730","2,821","23,764",477,62.0,"158,240","48,276",20.5,30.5,"101,167"
Philadelphia 1/,PA,NJ,"4,068","1,347","3,020","13,417",347,85.4,"77,005","24,483",18.9,31.8,"70,457"
San Francisco - Oakland,CA, ,"4,022","1,203","3,343","9,316",330,82.0,"90,277","47,982",22.4,53.1,"145,461"
Detroit,MI, ,"3,836","1,304","2,942","13,808",283,73.8,"92,359","31,125",24.1,33.7,"109,882"
Dallas - Ft. Worth,TX, ,"3,746","1,712","2,188","17,830",594,158.5,"116,548","49,197",31.1,42.2,"82,872"
Washington,DC,"MD, VA","3,617",999,"3,621","10,329",306,84.6,"82,959","34,533",22.9,41.6,"112,852"
Atlanta,GA, ,"2,977","1,757","1,694","13,145",306,102.9,"100,693","42,488",33.8,42.2,"138,701"
Boston,MA, ,"2,917","1,138","2,563","10,148",211,72.3,"59,361","22,890",20.3,38.6,"108,468"
San Diego,CA, ,"2,653",733,"3,619","5,965",246,92.8,"62,809","33,745",23.7,53.7,"137,029"
Houston,TX, ,"2,487","1,537","1,618","15,251",368,148.0,"91,883","39,195",36.9,42.7,"106,458"
Minneapolis - St. Paul,MN, ,"2,475","1,192","2,076","10,919",316,127.8,"60,720","27,094",24.5,44.6,"85,640"
Miami - Hialeah,FL, ,"2,270",353,"6,431","5,607",120,53.1,"43,577","13,584",19.2,31.2,"112,782"
Phoenix,AZ, ,"2,138","1,054","2,028","10,232",163,76.4,"58,405","19,424",27.3,33.3,"118,882"
Baltimore,MD, ,"2,107",712,"2,959","6,608",278,131.9,"45,021","22,659",21.4,50.3,"81,550"
St. Louis,MO,IL,"2,044","1,124","1,819","8,064",320,156.7,"58,761","25,739",28.7,43.8,"80,362"
